Record;Event;Author;Recipient/dedicatee information;Recipient/dedicatee;Title;Printer;Printer information;Place;Summary;Other places quoted by the printer;Year;Language;Form (prose/verses/mixed);Identifier in USTC;Reference copy-ies;Digitised copy link;Related images and documents;Additional notes;Analaytic tags;Private notes;;;;
P-1703-CI-0580;1703 Central Italy Earthquake;Unknown;;Unknown;Gazzetta di Mantova (n. 11);Grana, Giovan Battista;In Mantova, nella stamperia ducale di Gio. Batt. Grana;"Mantua; Rome";Correspondence from Rome, 1703. 03. 03;Rome;1703-03-14;Spanish;Prose;;Mantua, Biblioteca Comunale Teresiana OC.261;http://digilib.bibliotecateresiana.it/sfoglia_periodico2.php?tG=GAZZETTA%20DI%20MANTOVA&tA=1703&identifier=4-17030314&op=&offset=2;;;;;;;;
P-1703-CI-0583;1703 Central Italy Earthquake;Unknown;;Unknown;Gazzetta di Bologna;Monti, Pier Maria;Per Pier Maria Monti, sotto le volte de' Pollaroli;"Bologna; Rome";Correspondence from Rome, 1702. 01. 20;Rome;1703-01-30;Italian;Prose;;Bologna, Biblioteca Comunale dell'Archiginnasio 17.D...;http://badigit.comune.bologna.it/Gazzette/visualizzazione.asp?gazzetta=703A30_1.jpg;;;;;;;;
P-1703-CI-0584;1703 Central Italy Earthquake;Unknown;;Unknown;Gazzetta di Bologna;Monti, Pier Maria;Per Pier Maria Monti, sotto le volte de' Pollaroli;"Bologna; Rome";Correspondence from Rome, 1703. 02. 10;Rome;1703-02-20;Italian;Prose;;Bologna, Biblioteca Comunale dell'Archiginnasio 17.D...;http://badigit.comune.bologna.it/Gazzette/visualizzazione.asp?gazzetta=703B20_1.jpg;;;;;;;;
P-1703-CI-05D7;1703 Central Italy Earthquake;Unknown;;Unknown;Exacta, y verídica noticia de los funestos estragos, causados por la continuación de los grandes terremotos en Roma, y otras partes de Italia ;Bizarrón, Antonio;Por Antonio Bizarrón;"Madrid; Rome";;Rome;1703-02-10;Spanish;Prose;;Madrid, Biblioteca Nacional de España VE/818/6;http://bdh-rd.bne.es/viewer.vm?id=0000259320&page=1;;;;;;;;
P-1703-CI-05DA;1703 Central Italy Earthquake;Unknown;;Unknown;Gazzetta di Napoli (n. 3);Bulifon, Niccolò;Appresso Nicolò Bulifoni;"Naples; Rome";Correspondende from Rome, 1703. 01. 12;Rome;1703-01-16;Italian;Prose;;Naples, Biblioteca Nazionale Vittorio Emanuele III S. Q. 22 L 46 N. 1-51 (january 2th - december 18th 1703);;;;;;;;;
P-1703-CI-05DB;1703 Central Italy Earthquake;Unknown;;Unknown;Gazzetta di Napoli (n. 4);Bulifon, Niccolò;Appresso Nicolò Bulifoni;"Naples; Rome";News from Rome, 1703. 01. 20;Rome;1703-01-23;Italian;Prose;;Naples, Biblioteca Nazionale Vittorio Emanuele III S. Q. 22 L 46 N. 1-51 (january 2th - december 18th 1703);;;;;;;;;
P-1703-CI-05DC;1703 Central Italy Earthquake;Unknown;;Unknown;Gazzetta di Napoli (n. 5);Bulifon, Niccolò;Appresso Nicolò Bulifoni;"Naples; Rome";Correspondence from Rome, 1703. 01. 27;Rome;1703-01-30;Italian;Prose;;Naples, Biblioteca Nazionale Vittorio Emanuele III S. Q. 22 L 46 N. 1-51 (january 2th - december 18th 1703);;;;;;;;;
P-1703-CI-05DD;1703 Central Italy Earthquake;Unknown;;Unknown;Gazzetta di Napoli (n 7);Bulifon, Niccolò;Appresso Nicolò Bulifoni;"Naples; Rome";Correspondence from Rome, 1703. 02. 03;Rome;1703-02-13;Italian;Prose;;Naples, Biblioteca Nazionale Vittorio Emanuele III S. Q. 22 L 46 N. 1-51 (january 2th - december 18th 1703);;;;;;;;;
P-1703-CI-05DE;1703 Central Italy Earthquake;Unknown;;Unknown;Gazzetta di Napoli (n. 8);Bulifon, Niccolò;Appresso Nicolò Bulifoni;"Naples; Rome";Correspondence from Rome, 1703. 02. 17;Rome;1703-02-20;;;;Naples, Biblioteca Nazionale Vittorio Emanuele III S. Q. 22 L 46 N. 1-51 (january 2th - december 18th 1703);;;;;;;;;
P-1703-CI-0624;1703 Central Italy Earthquake;Unknown;;;"Relatione del terrremoto sentitosi in Roma, e luoghi circonvicini, ed in Regno di Napoli, li giorni del 14 15 e 16 mese di gennaro 1703. Con li luoghi, e paesi danneggiati; scritta da Roma da un personaggio ad un suo amico a Bologna";Manolessi;Per il Manolessi Stampator Arcivescovale;Bologna;;;1703;Italian;Prose;;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 79r-80v;;;;;foto Matteo;;;;
P-1703-CI-0625;1703 Central Italy Earthquake;Unknown;;;Relazione distinta de' danni cagionati da' passati tremuoti nel Regno di Napoli e nello Stato di Santa Chiesa in quest'anno 1703;Monti, Pier Maria;Per Pier Maria Monti;"Bologna; Naples";;Naples;1703;Italian;Prose;;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 81r-82v;;;;;foto Matteo;;;;
P-1706-CI-01DD;1706 Central Italy Earthquake;Unknown;;;Distinta relazione del danno cagionato dal terremoto succeduto a di 3 novembre 1706. Secondo le notizie venute a questo eccellentissimo marchese di Vigliena et c. ed altre raccolte da varie lettere particolari;Bulifon, Niccolò;Appresso Niccolò Bulifon;Naples;;;1706;Italian;Prose;Null;Rome, Biblioteca Casanatense VOL MISC.1226 4;https://books.google.fr/books?vid=IBCR:BC000029689&redir_esc=y;;;;;;;;
P-1707-VE-01DE;1707 Vesuvius Eruption;Unknown;;Unknown;Relazione de’ meravigliosi effetti cagionati dalla portentosa eruzione del monte Vesuvio, detto di Somma, di pietre infuocate, gorghi di fuoco, tuoni, saette, e pioggia infinita di arenosa cenere, seguita dal dì 26 del caduto luglio, per tutti li due del corrente agosto 1707;"Parrino, Domenico; Muzio, Michele Luigi";Presso Domenico Antonio Parrino, e Michele Luigi Muzio;Naples;;;1707;Italian;Prose;Null;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.E. 009;;;;;;;;;
P-1707-VE-05B8;1707 Vesuvius Eruption;Unknown;;;Relazione de’ meravigliosi effetti cagionati dalla portentosa eruzione del monte Vesuvio, detto di Somma, di pietre infuocate, gorghi di fuoco, tuoni, saette, e pioggia infinita di arenosa cenere, seguita dal dì 26 del caduto luglio, per tutti li due del corrente agosto 1707;Monti, Pier Maria;Per Pier-Maria Monti;"Bologna; Naples";;Naples;1707;Italian;Prose;;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 150r-151v;;;;;foto Matteo;;;;
P-1707-VE-0670;1707 Vesuvius Eruption;Sorrentino, Ignazio;;Galiani, Celestino;Istoria del monte Vesuvio divisata in due libri da d. Ignazio Sorrentino sacerdote secolare della Torre del Greco;Severini, Giuseppe;;Naples;The book is dedicated to Celestino Galiani, promoter of Newtonian and Lockian ideas in southern Italy. In the first chapters, the author analyses the minerals erupted by the volcano in 1631, illustrates the theory of Vesuvius' submarine origin and the different composition of the gases ejected. The second part opens with a description of the 1660 eruption, then moves on to the numerous eruptions occurred between 1682 and 1733, which Sorrentino observed in person, reporting personal notes and experiences. The 1707 eruption is described at pages 157-164;;1734;Italian;Prose;;Rome, Bibliotheca Hertziana Be 4015-3340 raro IV;https://dlib.biblhertz.it/m2/?manifest=https://dlib.biblhertz.it/iiif/be40153340/manifest2.json;;;RISPOSTE ISTITUZIONALI→Figure eroiche/Gesti salvifici;;;;;
P-1708-CA-0585;1708 Calabria Earthquake;Unknown;;Unknown;Gazzetta di Mantova (n. 8);Grana, Giovan Battista;Per Gio Battista Grana;"Mantua; Naples";Correspondence from Naples, 1708. 02. 07;Naples;1708-02-29;Italian;Prose;;Mantua, Biblioteca Comunale Teresiana OC.261;http://digilib.bibliotecateresiana.it/sfoglia_periodico2.php?tG=GAZZETTA%20DI%20MANTOVA&tA=1708&identifier=4-17080229;;;;;;;;
P-1713-JA-01DF;1703 Jaen Earthquake;Unknown;;Unknown;Noticia puntual, y verídica de los terribles terremotos, que ha padecido la muy noble, y muy leal ciudad de Jaén, desde el día primero de febrero, hasta los últimos del mes de marzo;Unknown;Unknown;Unknown;;;1713;Spanish;Prose;Null;Paris, Bibliothèque Nationale de France 4-OC-665;;;;;;;;;
P-1717-VE-0671;1717 Vesuvius Eruption;Sorrentino, Ignazio;;Galiani, Celestino;Istoria del monte Vesuvio divisata in due libri da d. Ignazio Sorrentino sacerdote secolare della Torre del Greco;Severini, Giuseppe;;Naples;The book is dedicated to Celestino Galiani, promoter of Newtonian and Lockian ideas in southern Italy. In the first chapters, the author analyses the minerals erupted by the volcano in 1631, illustrates the theory of Vesuvius' submarine origin and the different composition of the gases ejected. The second part opens with a description of the 1660 eruption, then moves on to the numerous eruptions occurred between 1682 and 1733, which Sorrentino observed in person, reporting personal notes and experiences. The 1717 eruption is described at pages 175-184;;1734;Italian;Prose;;Rome, Bibliotheca Hertziana Be 4015-3340 raro IV;https://dlib.biblhertz.it/m2/?manifest=https://dlib.biblhertz.it/iiif/be40153340/manifest2.json;;;INTERPRETAZIONE→Osservazioni empiriche;;;;;
P-1718-MA-01E0;1718 Madrid Fire;Unknown;;Unknown;Nueva relación en que declara, y da cuenta del horroroso incendio, riguroso estrago y total ruina, que ocasionó el fuego en el real convento de S. Felipe desta corte el día quatro de setiembre;Unknown;Unknown;Madrid;;;1718;Spanish;Verse;Null;Madrid, Biblioteca Nacional de España VC/12602/7;;;;;Foto Schiano;;;;
P-1723-VE-0672;1723 Vesuvius Eruption;Sorrentino, Ignazio;;Galiani, Celestino;Istoria del monte Vesuvio divisata in due libri da d. Ignazio Sorrentino sacerdote secolare della Torre del Greco;Severini, Giuseppe;;Naples;The book is dedicated to Celestino Galiani, promoter of Newtonian and Lockian ideas in southern Italy. In the first chapters, the author analyses the minerals erupted by the volcano in 1631, illustrates the theory of Vesuvius' submarine origin and the different composition of the gases ejected. The second part opens with a description of the 1660 eruption, then moves on to the numerous eruptions occurred between 1682 and 1733, which Sorrentino observed in person, reporting personal notes and experiences. The 1723 eruption is described at pages 188-193;;1734;Italian;Prose;;Rome, Bibliotheca Hertziana Be 4015-3340 raro IV;https://dlib.biblhertz.it/m2/?manifest=https://dlib.biblhertz.it/iiif/be40153340/manifest2.json;;;INTERPRETAZIONE→Osservazioni empiriche;;;;;
P-1726-PA-01E1;1726 Palermo Earthquake;Ruffo, Salvatore;;;P.M. Salvatoris Ruffi Panormitani. De horrendo terrae motu qui contigit Panormi nocte post kalend. sept. 1726 tractatus historicus quem ex Italico in latinum sermonem conversum adiecta praefatione atque tabula vrbis Panormi edi curavit;Richter, G. Frid.;G. Frid. Richter Prof. P.;Leipzig;;;1727;Latin;Prose;Null;Paris, Bibliothèque Nationale de France MAGL. 1.7.208;https://books.google.es/books?id=y71MAAAAcAAJ&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;I-1726-PA-0312 / 1726 Palermo Earthquake / City View of Palermo (This document includes);;;;;;;
P-1726-PA-0586;1726 Palermo Earthquake;Unknown;;Unknown;Gaceta de Madrid (n. 41);Aritzia, Juan de;En Madrid, por Juan de Aritzia, en la calle de Alcalá;"Madrid; Genoa";Correspondence from Genoa, 1726. 09. 17;Genoa;1726-10-08;Spanish;Prose;;Madrid, Hemeroteca del Boletín Oficial del Estado ;https://www.boe.es/diario_gazeta/comun/pdf.php?p=1726/10/08/pdfs/GMD-1726-41.pdf;;;;;;;;
P-1726-PA-0587;1726 Palermo Earthquake;Unknown;;Unknown;Gaceta de Madrid (n. 43);Aritzia, Juan de;En Madrid, por Juan de Aritzia, en la calle de Alcalá;"Madrid; Genoa";Correspondence from Genoa, 1726. 10. 01.;Genoa;1726-10-22;Spanish;Prose;;Madrid, Hemeroteca del Boletín Oficial del Estado ;https://www.boe.es/diario_gazeta/comun/pdf.php?p=1726/10/22/pdfs/GMD-1726-43.pdf;;;;;;;;
P-1726-PA-0588;1726 Palermo Earthquake;Unknown;;Unknown;Diario ordinario (n. 1430);Unknown;In Roma MDCCXXVI Nella stamperia del Chracas presso S. Marco al Corso;Rome;;;1726-10-05;Italian;Prose;;Rome, Biblioteca Casanatense PER est 358;https://casanatense.contentdm.oclc.org/digital/collection/chracas/id/10487/rec/1;;;;;;;;
P-1726-PA-058A;1726 Palermo Earthquake;Unknown;;Unknown;Diario ordinario (n. 1432);Unknown;In Roma MDCCXXVI Nella stamperia del Chracas presso S. Marco al Corso;"Rome; Palermo";Correspondence from Palermo, 1726. 09. 26. This is titled Ultima vera Relazione dell'orribile Terremoto successo in Palermo la notte del primo giorno di Settembre ad ore quattro d'Italia. Descritta e data in luce d'ordine del Eccellentissimo Senato';Palermo;1726-10-11;Italian;Prose;;Rome, Biblioteca Casanatense PER est 358;https://casanatense.contentdm.oclc.org/digital/collection/chracas/id/10486/rec/3;;;;;;;;
P-1726-PA-0626;1726 Palermo Earthquake;Unknown;;;Relazione, o sia Diario, e Ragguaglio distinto, del funestisimo terremoto accaduto nella città di Palermo la domenica primo del mese di settembre 1726 alle ore 4 della notte seguente. E delle disposizioni, e ordini dati dall'Eccellentissimo Senato per ogni opportuno soccorso, e riparo;Saffi, Carlo Alessio and Clemente Maria;Per Carlo Alessio, e Clemente Maria Fratelli Saffi;"Bologna; Palermo; Naples; Florence";;"Palermo;Naples;Florence";1726;Italian;Prose;;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 87r-90v;;;;;foto Matteo;;;;
P-1726-PA-0627;1726 Palermo Earthquake;Unknown;;;Vera. e distinta relazione dell'orribile tremuoto accaduto nella città di Palermo il dì primo del mese di setttembre dell'anno 1726. Tradotta fedelmente da una lettera scritta in lingua spagnuola dal Principe di Resutano, Pretore della Città di Palermo sotto il dì 6 di detto mese, pervenuta all'Eminentissimo Signore Vicerè di Napoli;Saffi, Carlo Alessio and Clemente Maria;Per Carlo Alessio, e Clemente Maria Fratelli Saffi;"Bologna; Naples; Florence";;"Naples;Florence";1726;Italian;Prose;;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 91r-92v;;;;;foto Matteo;;;;
P-1727-ME-058D;1727 Mexico Plague;Unknown;;Unknown;Gazeta de México (n. 1);Hogal, José Bernardo de;Por Joseph Bernardo de Hogal, en la Calle Nueva;Mexico City;;;1728-01;Spanish;Prose;;Madrid, Biblioteca Nacional de España REVMICRO/2618<1>;http://hemerotecadigital.bne.es/issue.vm?id=0026877254&page=16&search=epidemia&lang=es;;;;;;;;
P-1727-ME-058E;1727 Mexico Plague;Unknown;;Unknown;Gazeta de México (n. 4);Hogal, José Bernardo de;Por Joseph Bernardo de Hogal, en la Calle Nueva;Mexico City;;;1728-04;Spanish;Prose;;Madrid, Biblioteca Nacional de España REVMICRO/2618<1>;http://hemerotecadigital.bne.es/issue.vm?id=0026877292&page=5&search=epidemia&lang=es;;;;;;;;
P-1727-NA-001-058B;1727 Naples Storm;Unknown;;Unknown;Gaceta de Madrid (n. 48);Aritzia, Juan de;Por Juan de Aritzia, en la calle de Alcalá;"Madrid; Genoa";Correspondence from Genoa, 1727. 11. 11;Genoa;1727-12-02;Spanish;Prose;;Madrid, Hemeroteca del Boletín Oficial del Estado ;https://www.boe.es/diario_gazeta/comun/pdf.php?p=1727/12/02/pdfs/GMD-1727-48.pdf;;;;;;;;
P-1727-NA-001-058C;1727 Naples Storm;Unknown;;Unknown;Diario ordinario (n. 1532);Unknown;Nella stamperia del Chracas, presso S. Marco al Corso;"Rome; Naples";Correspondence from Naples, 1727. 10. 07. It's titled  /   Vera e distinta Relazione de' gravissimi danni caggionati a /   questa fidelissima Città di Napoli, e suoi Borghi, della spaventosa Tempesta /   accaduta alli 7 del corrente mese di Ottobre 1727';Naples;1727-10-20;Italian;Prose;;Rome, Biblioteca Casanatense PER est 358;https://casanatense.contentdm.oclc.org/digital/collection/chracas/id/10669/rec/2;P-1727-NA-001-0668 / 1727 Naples Storm / Vera, e distinta relazione de’ gravissimi danni cagionati a questa fedelissima Città di Napoli, e suoi Borghi dalla spaventevole Tempesta seguita a’ 7 del corrente Mese d’Ottobre 1727 (Very similar to);The news item also speaks of an eruption of Vesuvius that occurred at the same time;;;;;;
P-1727-NA-001-0668;1727 Naples Storm;Unknown;;;Vera, e distinta relazione de’ gravissimi danni cagionati a questa fedelissima Città di Napoli, e suoi Borghi dalla spaventevole Tempesta seguita a’ 7 del corrente Mese d’Ottobre 1727;Albizzini, Antonio Maria;stampato da Anton Maria Albizzini, da S. Maria in Campo;"Florence; Naples";A fairly detailed description of the damage caused to buildings and infrastructures in and around the city;Naples;1727;Italian;Prose;;Naples, Biblioteca della Società Napoletana di Storia Patria Sismica, VII.D.14 (3;;P-1727-NA-001-058C / 1727 Naples Storm / Diario ordinario (n. 1532) (Very similar to);;INTERPRETAZIONE→Punizione per i peccati degli uomini;"Esiste la trascrizione, ma è da aggiungere:&nbsp;al momento il sistema non la accetta perché troppo lunga [Domenico]";;;;
P-1727-NA-001-0669;1727 Naples Storm;Unknown;;;Distinta relazione di quanto è occorso nella Città di Napoli il giorno 11 di Ottobre 1727. Di un’orribile Temporale, con Saette, e scosse di Terremoto, a segno, che tutto quel Popolo si ritrova molto afflitto;Fratelli Sassi ;per Carlo Alessio, e Clemente Maria Fratelli Sassi ;Bologna;;;[1727];Italian;Prose;;Naples, Biblioteca della Società Napoletana di Storia Patria Sismica, VII.D.14 (4;;;;RISPOSTE ISTITUZIONALI→Figure eroiche/Gesti salvifici;;;;;
P-1730-SA-058F;1730 Santiago Earhquake;Unknown;;Unknown;Gazeta de México (n. 4);Hogal, José Bernardo de;Por Joseph Bernardo de Hogal, en la Calle Nueva;"Mexico City; Peru";;Peru;1731-04;Spanish;Prose;;Madrid, Biblioteca Nacional de España REVMICRO/2618<1>;http://hemerotecadigital.bne.es/issue.vm?id=0026877382;;;;;;;;
P-1730-VE-0590;1730 Vesuvius Eruption;Unknown;;Unknown;Gaceta de Madrid (n. 20);Aritzia, Juan de;Por Juan de Aritzia, en la Calle de Alcalá;"Madrid; Genoa";Correspondence from Genoa, 1730. 04. 25;Genoa;1730-05-16;Spanish;Prose;;Madrid, Hemeroteca del Boletín Oficial del Estado ;https://www.boe.es/diario_gazeta/comun/pdf.php?p=1730/05/16/pdfs/GMD-1730-20.pdf;;;;;;;;
P-1731-NA-0591;1731 Naples Earthquake;Unknown;;Unknown;Diario ordinario (n. 2141);Unknown;Nella stamperia del Chracas, presso S. Marco al Corso;"Rome; Naples";Correspondence from Naples, 1731. 04. 17;Naples;1731-04-25;Spanish;Prose;;Rome, Biblioteca Casanatense PER est 358;https://casanatense.contentdm.oclc.org/digital/collection/chracas/id/11208/rec/1;;"The correspondence from Naples contains a report titled&nbsp;<i>
  </i><i>Distinta
  Relazione dell'orribile Terremoto accaduto in quel tutto regno di Napoli, ma
  col danno maggiore nella Città di Foggia nella Puglia</i>";;;;;;
P-1731-NA-0628;1731 Naples Earthquake;Unknown;;;Relazione dello spaventoso terremoto intesosi la mattina delli 20 marzo di questo anno 1731 con danno indicibile delle città della Puglia, e specialmente di quella di Foggia;Saffi, Carlo Alessio and Clemente Maria;Per Carlo Alessio, e Clemente Maria Fratelli Saffi;"Bologna; Naples";;Naples;[1731];Italian;Prose;;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 93r-94v;;;;;foto Matteo;;;;
P-1731-VA-01E2;1731 Valencia Flood;Unknown;;;Segunda relación, y romance curioso del lamentable estrago, y fatal ruina que ha causado en Valencia, y su contribución la avenida del río Turia el dia 16 de setiembre de 1731;Unknown;Unknown;Valencia;;;[1731];Spanish;Verse;Null;Valencia, Universitat de València, Biblioteca Històrica BH Ms. 0563(18);https://weblioteca.uv.es/cgi/view.pl?sesion=2022071015214618097&source=uv_im_23188342270006258&div=1&mini=1&mend=60;I-1731-VA-0318 / 1731 Valencia Flood / The Virgin and Child (Mare de Déu dels Desamparats) (This document includes);;;;;;;
P-1732-IR-0593;1732 Irpinia Earthquake;Unknown;;Unknown;Gaceta de Madrid (n. 3);Aritzia, Juan de;Por Juan de Aritzia, en la Calle de Alcalá;"Madrid; Genoa";Correspondence from Genoa, 1732.12.30;Genoa;1733-01-20;Spanish;Prose;;Madrid, Hemeroteca del Boletín Oficial del Estado ;https://www.boe.es/diario_gazeta/comun/pdf.php?p=1733/01/20/pdfs/GMD-1733-3.pdf;;;;;;;;
P-1732-IR-0594;1732 Irpinia Earthquake;Unknown;;Unknown;Diario ordinario (n. 2395);Unknown;Nella stamperia del Chracas, presso S. Marco al Corso;"Rome; Naples";Correspondence from Naples, 1732.12.03;Naples;1732-12-06;Italian;Prose;;Rome, Biblioteca Casanatense PER est 358;https://casanatense.contentdm.oclc.org/digital/collection/chracas/id/11476/rec/3;;;;;;;;
P-1732-IR-0595;1732 Irpinia Earthquake;Unknown;;Unknown;Diario ordinario (n. 2398);Unknown;Nella stamperia del Chracas, presso S. Marco al Corso;"Rome; Naples";Correspondence from Naples, 1732. 12. 09.;Naples;1732-12-13;Italian;Prose;;Rome, Biblioteca Casanatense PER est 358;https://casanatense.contentdm.oclc.org/digital/collection/chracas/id/11479/rec/2;;;;;;;;
P-1732-IR-0629;1732 Irpinia Earthquake;Unknown;;;vera e distinta relazione dell'orribile terremoto seguito in Napoli e in tutte le terre adjacenti di detto Stato, fino nella Puglia. Seguito il giorno di sabbato 29 novembre dell'anno 1732. Come da lettera particolare di quelle Parti di è ricavato;Saffi, Carlo Alessio and Clemente Maria;per Carlo Alessio, e Clemente Maria Fratelli Saffi;Bologna;;;1732;Italian;Prose;;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 95r-96v;;;;;foto Matteo;;;;
P-1736-SE-01E3;1736 Seville Flood;Unknown;;Unknown;Nueva relación, en un curioso romance, en que se declaran las copiosas lluvias, y grandes inundaciones, que ha padecido la ciudad de Sevilla, y sus contornos, los barrios, arrabales, y casas, que han estado anegadas, y las copiosas limosnas, que han repartido a los pobres el cabildo de la Santa Metropolitana iglesia, el señor Arzobispo, el cabildo de la ciudad, el señor asistente, los padres de la Cartuja, la casa de la Misericordia, y otras muchas piadosas personas, como lo verá el curioso lector, este año de 1736;López de Haro, Diego;En la Imprenta Real, por la Reina nuestra Señora, Castellana y Latina, de don Diego López de Haro, en calle de Génova;Seville;;;1736;Spanish;Verse;Null;Madrid, Biblioteca Nacional de España VE/1354/9;;I-1736-SE-031F / 1736 Seville Flood / Saints Justa and Rufina (This document includes);;;foto Schiano;;;;
P-1736-SE-01E4;1736 Seville Flood;Unknown;;Unknown;Nueva, y verdadera relación, en un curioso romance, que da cuenta de una horrorosa tempestad de agua, truenos, relámpagos y rayos, que padeció esta muy noble y leal ciudad de Sevilla el día 23 de abril de este año de 1736 desde las siete hasta las diez de la noche. Refiérense los grandes estragos que hicieron los rayos en la magnífica portada del colegio seminario del Señor San Telmo, en el de San Alberto, y en el de San Miguel, y las ruinas que causaron en cada colegio, y referido convento como con toda individualidad lo verá el discreto lector;Navarro y Armijo, José;En la Imprenta Castellana y Latina de Joseph Navarro Armijo;Seville;;;1736;Spanish;Verse;Null;Madrid, Biblioteca Nacional de España VE/1350/12;;I-1736-SE-0320 / 1736 Seville Flood / Coat of Arms of the City of Seville (This document includes);;;foto Schiano;;;;
P-1736-SE-01E5;1736 Seville Flood;Unknown;;;Nueva relación, en curioso romance, en que se declaran las copiosas lluvias, y grandes inundaciones, que ha padecido la ciudad de Sevilla, y sus contorno, los barrios, arrabales, y casas, que han estado anegadas, y las copiosas limosnas que han repartido a los pobres el cabildo de la santa metropolitana iglesia, el señor arzobispo, el Cabildo de la ciudad, el señor asistente, los padres de la Cartuja, la Casa de la Misericordia, y otras muchas piadosas personas, como lo verá el curioso lector, este año de 1736;Unknown;Unknown;Unknown;;;[1736];Spanish;Verse;Null;Valencia, Biblioteca Valenciana Nicolau Primitiu XVIII/1106(19);https://bivaldi.gva.es/es/catalogo_imagenes/grupo.do?path=1006215;I-1736-SE-0321 / 1736 Seville Flood / Emblem n. 37 from Diego de Savedra y Fajardo, Idea de un príncipe político cristiano representado en cien empresas, Milan 1642 (This document includes);;;;;;;
P-1736-SE-01E6;1736 Seville Flood;Unknown;;Unknown;"Resumen verídico de la horrorosa tormenta de relámpagos, rayos, y centellas, que acaecieron en la ciudad de Sevilla la noche del día veinte y tres de abril de este año de mil setecientos y treinta y seis. Y asimismo de las solemnes Finciones, que en acción de gracias han celebrado el colegio, Rosario de Sr. S. Alberto, y el de la Nra. Sra. de la Merced, con unas fervorosas novenas, y plausibles fiestas; y quedándose esta divina señora en la iglesia, acuden convidados los rosarios de las parochias de esta ciudad, y lo demás que verá el curioso lector";Unknown;Unknown;Unknown;;;1736;Spanish;Verse;Null;Valencia, Biblioteca Serrano Morales R 18682;;I-1736-SE-0322 / 1736 Seville Flood / Emblem (This document includes);;;pdf Milena;;;;
P-1736-SE-01E7;1736 Seville Flood;Unknown;;Unknown;Verdadera relación de lo sucedido en la tormenta de truenos, relámpagos, centellas, y rayos, que vino sobre la ciudad de Sevilla en 23 de abril de este año de 1736 y de las fiestas que le hicieron a Maria Santíssima de la Merced, por los singulares favores, que visiblemente se le debieron en esta aflicción;Unknown;Imprenta Real casa del correo viejo;Seville;;;1736;Spanish;Prose;Null;Madrid, Biblioteca Nacional de España VE/1352/10;;;;;foto Schiano;;;;
P-1737-ME-01E8;1737 Mexico Plague;Cabrera y Quintero, Cayetano;A la Augusta Magestad de Nuestro Rey, y Señor, el Señor Don Fernando Sexto, Rey de las Españas, y Emperador de las Indias;Ferdinand VI;Escudo de armas de México. Celestial protección de esta nobilíssima ciudad, de la Nueva-España y de casi todo el Nuevo Mundo, María Santíssima en su portentosa imagen del mexicano Guadalupe, milagrosamente apparecida en el palacio arzobispal el año de 1531 y jurada su principal patrona el passado de 1737, en la angustia que ocasionó la pestilencia;Hogal, José Bernardo de;Por la Viuda de D. Joseph Bernardo de Hogal;Mexico City;;;1746;Spanish;Prose;Null;Madrid, Biblioteca de la Universidad Complutense de Madrid BH FG 3266;https://books.google.es/books?id=-kdIGpzZcVwC&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0#v=thumbnail&q&f=false;I-1737-ME-0323 / 1737 Mexico Plague / The Virgen de Guadalupe appears to the Population afflicted by the Plague (This document includes);;;;;;;
P-1737-ME-05A1;1737 Mexico Plague;Unknown;;Unknown;Gazeta de México (n. 110);Unknown;En la imprenta real del superior Gobierno, y del nuevo Rezado de Doña María de Ribera, en el Empedradillo;Mexico City;;;1737-01;Spanish;Prose;;Madrid, Biblioteca Nacional de España REVMICRO/2618<1>;https://hemerotecadigital.bne.es/hd/viewer?oid=0026878415;;;;;;;;
P-1737-ME-05A2;1737 Mexico Plague;Unknown;;Unknown;Gazeta de México (n. 111);Unknown;En la imprenta real del superior Gobierno, y del nuevo Rezado de Doña María de Ribera, en el Empedradillo;Mexico City;;;1737-02;Spanish;Prose;;Madrid, Biblioteca Nacional de España REVMICRO/2618<1>;http://hemerotecadigital.bne.es/issue.vm?id=0026878433&search=&lang=es;;;;;;;;
P-1737-ME-05A3;1737 Mexico Plague;Unknown;;Unknown;Gazeta de México (n. 112);Unknown;En la imprenta real del superior Gobierno, y del nuevo Rezado de Doña María de Ribera, en el Empedradillo;Mexico City;;;1737-03;Spanish;Prose;;Madrid, Biblioteca Nacional de España REVMICRO/2618<1>;http://hemerotecadigital.bne.es/issue.vm?id=0026878442&search=&lang=es;;;;;;;;
P-1737-ME-05A4;1737 Mexico Plague;Unknown;;Unknown;Gazeta de México (n. 113);Unknown;En la imprenta real del superior Gobierno, y del nuevo Rezado de Doña María de Ribera, en el Empedradillo;Mexico City;;;1737-04;Spanish;Prose;;Madrid, Biblioteca Nacional de España REVMICRO/2618<1>;http://hemerotecadigital.bne.es/issue.vm?id=0026878462&search=&lang=es;;;;;;;;
